metric,reduced_model,full_model,log_likelihood_reduced,log_likelihood_full,lr_statistic,df_difference,p_value,significant_0_05
dwell_time_s,Null,Original emotion,1733.013246042652,1733.460301770101,0.8941114548979385,2,0.6395082691173379,False
dwell_time_s,Null,Reported emotion,1733.013246042652,1733.1470492265898,0.2676063678754872,2,0.8747622149163555,False
dwell_time_s,Original emotion,Combined,1733.460301770101,1733.6108353485297,0.3010671568572434,2,0.860248843718042,False
dwell_time_s,Reported emotion,Combined,1733.1470492265898,1733.6108353485297,0.9275722438796947,2,0.6288980475784727,False
fixation_count,Null,Original emotion,1635.278144850502,1640.2959625635058,10.035635426007502,2,0.006618955420136679,True
fixation_count,Null,Reported emotion,1635.278144850502,1636.5962033207961,2.636116940588181,2,0.26765445690440054,False
fixation_count,Original emotion,Combined,1640.2959625635058,1641.3909142890907,2.189903451169812,2,0.33455575704227386,False
fixation_count,Reported emotion,Combined,1636.5962033207961,1641.3909142890907,9.589421936589133,2,0.00827338975417779,True
mean_fixation_duration_ms,Null,Original emotion,2559.5054205758743,2568.7830650518326,18.555288951916737,2,9.34910847990613e-05,True
mean_fixation_duration_ms,Null,Reported emotion,2559.5054205758743,2563.042186010527,7.073530869305614,2,0.029107324523063065,True
mean_fixation_duration_ms,Original emotion,Combined,2568.7830650518326,2571.5700697180155,5.5740093323656765,2,0.06160546676576819,False
mean_fixation_duration_ms,Reported emotion,Combined,2563.042186010527,2571.5700697180155,17.0557674149768,2,0.0001978732848812889,True
fixation_density_per_megapixel,Null,Original emotion,-1910.5448208925673,-1880.0707645787961,60.94811262754229,2,5.824860135820153e-14,True
fixation_density_per_megapixel,Null,Reported emotion,-1910.5448208925673,-1867.1249578535453,86.8397260780439,2,1.389930474942834e-19,True
fixation_density_per_megapixel,Original emotion,Combined,-1880.0707645787961,-1840.7257594267112,78.69001030416985,2,8.178645268555132e-18,True
fixation_density_per_megapixel,Reported emotion,Combined,-1867.1249578535453,-1840.7257594267112,52.79839685366824,2,3.4274710605061053e-12,True
