model,predictor,comparison,estimate_log_scale,standard_error,z_value,p_value_raw,ci_95_lower,ci_95_upper,approx_percent_difference,p_value_bonferroni,significant_bonferroni_0_05
Original emotion,original_emotion,Negative vs Neutral,-0.005135443220800615,0.005430765689358728,-0.9456204731614953,0.34434219809228517,-0.015779743971943722,0.005508857530342492,-0.5122279375963054,1.0,False
Original emotion,original_emotion,Positive vs Neutral,-0.0025246196654003274,0.005444255388701481,-0.4637217553459554,0.6428471083685172,-0.01319536022725523,0.008146120896454575,-0.25214354933443156,1.0,False
Original emotion,original_emotion,Negative vs Positive,-0.0026108235554002874,0.0054381101809210936,-0.48009758326707397,0.6311580066062317,-0.013269519510005632,0.008047872399205055,-0.2607418319716066,1.0,False
Reported emotion,response_emotion,Negative vs Neutral,-0.002118876072200072,0.008215367459410523,-0.2579161653655487,0.7964716086790944,-0.018220996292644696,0.013983244148244554,-0.21166328389528702,1.0,False
Reported emotion,response_emotion,Positive vs Neutral,-0.002808774778843987,0.005465222741150555,-0.513936011737497,0.6072967288237123,-0.013520611351499075,0.0079030617938111,-0.28048338615446944,1.0,False
Reported emotion,response_emotion,Negative vs Positive,0.0006898987066439152,0.00787360156138927,0.08762174479682269,0.9301773188011573,-0.014742360353679053,0.016122157766966884,0.06901367414934607,1.0,False
Combined,original_emotion,Negative vs Neutral,-0.005230021951676514,0.005433140480709184,-0.9626148946904909,0.33574081998199234,-0.015878977293866513,0.005418933390513486,-0.5216369198638237,1.0,False
Combined,original_emotion,Positive vs Neutral,-0.0024509902398944534,0.005452336474231025,-0.4495302612886031,0.6530491833057921,-0.01313756972938726,0.008235589249598354,-0.24479890158074746,1.0,False
Combined,original_emotion,Negative vs Positive,-0.0027790317117820608,0.0054555975622981355,-0.5093908925737205,0.6104782588255828,-0.013472002933886406,0.007913939510322286,-0.2775173777755665,1.0,False
Combined,response_emotion,Negative vs Neutral,-0.0023261309161084222,0.008240829516567549,-0.2822690253974938,0.7777372344219049,-0.018478156768580816,0.013825894936363973,-0.23234275701074775,1.0,False
Combined,response_emotion,Positive vs Neutral,-0.002975953299849654,0.00547042083862241,-0.5440081097305621,0.586435892209836,-0.013697978143549578,0.007746071543850271,-0.29715295402169695,1.0,False
Combined,response_emotion,Negative vs Positive,0.0006498223837412319,0.007883894643889576,0.08242403191484525,0.9343095263618229,-0.014802611118282336,0.0161022558857648,0.06500335640471903,1.0,False
